area,site,year,species,length_mm,length_cm,tag,fish_id,retained,month,day,drift,cell
BL,REF,2018,BLU,290,29,,122436,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,200,20,,122437,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,320,32,,122438,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,370,37,,122439,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,290,29,,122440,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,350,35,,122441,No,September,7,BLR0907184001,BL40
BL,REF,2018,OLV,310,31,,122442,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,370,37,,122444,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,250,25,,122445,No,September,7,BLR0907184001,BL40
BL,REF,2018,CPR,290,29,,122447,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,240,24,,122448,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,310,31,,122449,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,210,21,,122673,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,230,23,,122675,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,330,33,,122676,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,210,21,,122677,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,240,24,,122679,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,290,29,,122680,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,310,31,,122681,No,September,7,BLR0907184001,BL40
BL,REF,2018,OLV,230,23,,122683,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,250,25,,122685,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,300,30,,122686,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,330,33,,122687,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,220,22,,122688,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,350,35,,122690,No,September,7,BLR0907184001,BL40
BL,REF,2018,GPR,260,26,,122691,No,September,7,BLR0907184001,BL40
BL,REF,2018,GPR,250,25,,122692,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,360,36,,122693,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,340,34,,122694,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,260,26,,122696,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,260,26,,122697,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,290,29,,122698,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,250,25,,122699,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,310,31,,122700,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,360,36,,122703,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,220,22,,122705,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,300,30,,122709,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,350,35,,122710,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,350,35,,122712,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,290,29,,122714,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,330,33,,122718,No,September,7,BLR0907184001,BL40
BL,REF,2018,GPR,280,28,,122719,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,290,29,,122721,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,280,28,,122722,No,September,7,BLR0907184001,BL40
